Feature,Gain,Window_Start
MA_5d_BHC,0.008429,500
Close_BIDU,0.041535,500
Volume_BIDU,2.761673,500
Log_Return_BIDU,0.001389,500
Beta_45d_BIDU,0.000569,500
Variance_45d_BIDU,0.009544,500
Variance_5d_MA_BIDU,0.005949,500
MA_45d_BIDU,0.001998,500
MA_5d_BIDU,0.000310,500
Log_Return_BIIB,0.003555,500
Variance_45d_MA_BIIB,1.166165,500
Variance_5d_MA_BIIB,0.015537,500
MA_5d_BIIB,0.000283,500
Log_Return_BKNG,0.002684,500
SPY_Return_BKNG,0.004881,500
Beta_45d_BKNG,0.049103,500
Variance_45d_BKNG,0.000084,500
Variance_45d_MA_BKNG,0.010995,500
Variance_5d_MA_BKNG,0.001092,500
MA_45d_BKNG,0.000078,500
MA_5d_BKNG,0.011371,500
Close_BK,0.102366,500
Volume_BK,0.015774,500
Adj_Close_BK,0.003256,500
Log_Return_BK,0.002034,500
SPY_Return_BK,0.002403,500
Beta_45d_BK,0.202753,500
Variance_45d_BK,0.092553,500
Variance_45d_MA_BK,0.000182,500
Variance_5d_MA_BK,0.483408,500
MA_45d_BK,2.526856,500
MA_5d_BK,0.010439,500
Close_BLK,0.001140,500
Volume_BLK,0.013483,500
Log_Return_BLK,0.008804,500
SPY_Return_BLK,0.017374,500
Beta_45d_BLK,0.000301,500
Variance_45d_BLK,0.027952,500
Variance_45d_MA_BLK,0.943736,500
MA_45d_BLK,0.010163,500
Close_BMY,0.004492,500
Volume_BMY,0.002616,500
Log_Return_BMY,0.000531,500
Beta_45d_BMY,0.008515,500
Variance_45d_BMY,0.000103,500
Variance_45d_MA_BMY,0.516682,500
MA_45d_BMY,0.015726,500
MA_5d_BMY,0.005657,500
Close_BND,0.000435,500
Volume_BND,0.002007,500
Log_Return_BND,0.003596,500
Beta_45d_BND,0.000640,500
Variance_45d_BND,5.088478,500
Variance_45d_MA_BND,0.428927,500
Variance_5d_MA_BND,1.020373,500
MA_45d_BND,0.023400,500
MA_5d_BND,0.008023,500
Close_BP,0.001966,500
Volume_BP,0.010071,500
Log_Return_BP,0.004699,500
Beta_45d_BP,0.203875,500
Variance_45d_BP,0.003585,500
MA_5d_BP,0.001743,500
Close_BRCM,0.099454,500
Volume_BRCM,0.008691,500
Log_Return_BRCM,0.006462,500
Variance_45d_MA_BRCM,1.014525,500
Variance_5d_MA_BRCM,0.074039,500
MA_5d_BRCM,0.013137,500
Close_BRK.B,0.023136,500
Volume_BRK.B,0.001520,500
Log_Return_BRK.B,0.008031,500
Beta_45d_BRK.B,0.000942,500
Variance_45d_MA_BRK.B,3.788988,500
MA_45d_BRK.B,0.041928,500
MA_5d_BRK.B,0.010710,500
Close_CAT,0.001525,500
Log_Return_CAT,0.021331,500
Beta_45d_CAT,0.000042,500
Variance_45d_MA_CAT,0.068004,500
MA_5d_CAT,0.005921,500
Volume_CB,0.010716,500
Volume_CELG,0.003049,500
Log_Return_CELG,0.003625,500
Beta_45d_CELG,0.004252,500
Variance_45d_CELG,0.499033,500
Variance_45d_MA_CELG,0.194301,500
Variance_5d_MA_CELG,7.681343,500
MA_45d_CELG,2.200599,500
MA_5d_CELG,0.009648,500
Volume_CMCS.A,0.007225,500
Log_Return_CMCS.A,0.018760,500
Beta_45d_CMCS.A,0.070860,500
Variance_45d_CMCS.A,0.073367,500
Volume_CMG,0.004593,500
Log_Return_CMG,0.003915,500
Beta_45d_CMG,0.007755,500
Variance_45d_CMG,0.013364,500
Variance_5d_MA_CMG,8.079710,500
MA_45d_CMG,0.000752,500
Close_COP,0.000665,500
Volume_COP,0.014780,500
Beta_45d_COP,0.080725,500
Variance_45d_MA_COP,0.946843,500
MA_45d_COP,0.004450,500
MA_5d_COP,0.001753,500
Close_COST,0.017223,500
Volume_COST,0.007853,500
Adj_Close_COST,0.028882,500
Beta_45d_COST,0.003242,500
Variance_5d_MA_COST,0.056305,500
MA_45d_COST,0.004102,500
MA_5d_COST,0.014114,500
Close_CRM,0.037444,500
Log_Return_CRM,0.001954,500
Beta_45d_CRM,0.029084,500
Variance_45d_CRM,0.006085,500
Variance_5d_MA_CRM,0.001303,500
MA_45d_CRM,0.002413,500
MA_5d_CRM,0.000844,500
Volume_CSCO,0.012418,500
Log_Return_CSCO,0.008875,500
Beta_45d_CSCO,0.034770,500
Variance_45d_MA_CSCO,0.037016,500
MA_45d_CSCO,0.076555,500
MA_5d_CSCO,0.002667,500
Volume_CVS,0.001847,500
Log_Return_CVS,0.004297,500
Beta_45d_CVS,0.097344,500
Variance_45d_MA_CVS,0.996220,500
Adj_Close_CVX,3.840494,500
Log_Return_CVX,0.037973,500
Beta_45d_CVX,0.000674,500
Variance_45d_CVX,0.260163,500
Variance_5d_MA_CVX,0.068049,500
MA_45d_CVX,0.647933,500
MA_5d_CVX,0.012877,500
Volume_C,0.001670,500
Log_Return_C,0.006686,500
Beta_45d_C,0.039822,500
Variance_45d_C,0.098499,500
Variance_45d_MA_C,10.882132,500
MA_45d_C,0.017618,500
MA_5d_C,0.033531,500
Close_DAL,0.008437,500
Volume_DAL,0.000279,500
Log_Return_DAL,0.003000,500
Beta_45d_DAL,0.007818,500
MA_45d_DAL,0.023544,500
MA_5d_DAL,0.071882,500
Volume_DD,0.004421,500
Beta_45d_DD,0.128689,500
Variance_45d_DD,0.071334,500
MA_45d_DD,0.003730,500
MA_5d_DD,0.020103,500
Volume_DIA,0.004736,500
Log_Return_DIA,0.009729,500
Close_DIS,3.132424,500
Volume_DIS,0.002233,500
Log_Return_DIS,0.002335,500
Beta_45d_DIS,0.000494,500
Variance_45d_DIS,0.011627,500
MA_45d_DIS,0.007928,500
Volume_DOW,0.002386,500
Log_Return_DOW,0.044305,500
Beta_45d_DOW,0.006752,500
MA_45d_DOW,0.024864,500
MA_5d_DOW,0.004386,500
Volume_DUK,0.011636,500
Log_Return_DUK,0.001512,500
Beta_45d_DUK,0.059978,500
Variance_45d_DUK,2.059181,500
Variance_45d_MA_DUK,0.034193,500
Variance_5d_MA_DUK,2.741431,500
MA_5d_DUK,0.006147,500
Close_DXJ,0.000270,500
Volume_DXJ,0.016485,500
Adj_Close_DXJ,0.008293,500
Log_Return_DXJ,0.072954,500
Beta_45d_DXJ,0.001384,500
Variance_45d_DXJ,2.032470,500
Variance_45d_MA_DXJ,1.186845,500
Variance_5d_MA_DXJ,0.363007,500
MA_5d_DXJ,0.005146,500
Close_EEM,0.000536,500
Volume_EEM,0.000717,500
Adj_Close_EEM,0.000169,500
Log_Return_EEM,0.003287,500
SPY_Return_EEM,0.010714,500
Beta_45d_EEM,0.195656,500
Variance_45d_EEM,0.021050,500
Variance_5d_MA_EEM,0.000154,500
MA_45d_EEM,0.186789,500
MA_5d_EEM,0.000110,500
Close_EFA,0.000339,500
Volume_EFA,0.045955,500
Adj_Close_EFA,0.004632,500
Log_Return_EFA,0.003590,500
SPY_Return_EFA,0.010746,500
Beta_45d_EFA,0.240833,500
Variance_45d_EFA,0.120206,500
Variance_45d_MA_EFA,0.090849,500
Variance_5d_MA_EFA,4.025902,500
MA_45d_EFA,0.010265,500
MA_5d_EFA,0.008703,500
Volume_EOG,0.005130,500
Log_Return_EOG,0.008104,500
Beta_45d_EOG,0.005915,500
Variance_45d_EOG,0.204534,500
MA_45d_EOG,0.000176,500
MA_5d_EOG,0.004998,500
Close_EPD,0.000232,500
Volume_EPD,0.014590,500
Adj_Close_EPD,0.000116,500
Log_Return_EPD,0.001471,500
Beta_45d_EPD,9.768423,500
Variance_45d_EPD,0.000034,500
MA_45d_EPD,0.000113,500
MA_5d_EPD,0.339908,500
Volume_ESRX,0.037846,500
Log_Return_ESRX,0.004523,500
Beta_45d_ESRX,0.183392,500
Variance_45d_MA_ESRX,0.009075,500
MA_45d_ESRX,0.096723,500
MA_5d_ESRX,0.011114,500
Close_EWG,0.000551,500
Volume_EWG,0.001013,500
Log_Return_EWG,0.003032,500
Beta_45d_EWG,0.000196,500
Variance_5d_MA_EWG,0.015172,500
MA_45d_EWG,0.021588,500
MA_5d_EWG,0.000752,500
Close_EWJ,0.030693,500
Volume_EWJ,0.042709,500
Adj_Close_EWJ,0.001599,500
Log_Return_EWJ,0.062034,500
Beta_45d_EWJ,0.002072,500
Variance_45d_EWJ,1.102610,500
MA_5d_EWJ,0.009382,500
Volume_EWZ,0.004074,500
Log_Return_EWZ,0.007976,500
Beta_45d_EWZ,0.131120,500
Variance_45d_EWZ,0.482287,500
Variance_5d_MA_EWZ,0.009238,500
MA_45d_EWZ,0.002884,500
MA_5d_EWZ,0.059729,500
Volume_EXPE,0.001154,500
Adj_Close_EXPE,0.087293,500
Log_Return_EXPE,0.007910,500
MA_45d_EXPE,0.026798,500
MA_5d_EXPE,0.023239,500
Close_EZU,0.006513,500
Volume_EZU,0.003440,500
Log_Return_EZU,0.001176,500
Variance_45d_EZU,0.000347,500
Variance_45d_MA_EZU,0.599532,500
MA_5d_EZU,0.022657,500
Volume_FDX,0.001825,500
Log_Return_FDX,0.019451,500
Beta_45d_FDX,0.618639,500
Variance_45d_MA_FDX,0.134755,500
MA_45d_FDX,0.009213,500
MA_5d_FDX,0.004608,500
Volume_FXI,0.001273,500
Log_Return_FXI,0.018889,500
Variance_45d_FXI,0.005199,500
Variance_45d_MA_FXI,0.004159,500
MA_45d_FXI,0.006089,500
MA_5d_FXI,0.012778,500
Close_F,0.053842,500
Volume_F,0.008069,500
Log_Return_F,0.003898,500
Beta_45d_F,0.116963,500
Variance_45d_F,0.000482,500
Variance_45d_MA_F,0.046434,500
MA_5d_F,0.013200,500
Close_GDX,3.256562,500
Volume_GDX,0.004712,500
Log_Return_GDX,0.001093,500
Beta_45d_GDX,0.031395,500
Variance_45d_GDX,0.004753,500
Variance_45d_MA_GDX,0.006827,500
MA_45d_GDX,0.002620,500
MA_5d_GDX,0.013661,500
Close_GE,0.012688,500
Volume_GE,0.004855,500
Log_Return_GE,0.000554,500
Beta_45d_GE,0.041155,500
Variance_45d_MA_GE,2.729100,500
MA_45d_GE,0.003803,500
MA_5d_GE,0.000757,500
Volume_GILD,0.002923,500
Beta_45d_GILD,0.224530,500
Variance_45d_GILD,0.009783,500
Variance_5d_MA_GILD,0.003300,500
MA_45d_GILD,0.003904,500
MA_5d_GILD,0.005199,500
Close_GLD,0.144448,500
Volume_GLD,0.303611,500
Log_Return_GLD,0.002222,500
Variance_5d_MA_GLD,0.083795,500
MA_45d_GLD,0.162589,500
MA_5d_GLD,0.030084,500
Close_GOOG.L,0.002040,500
Volume_GOOG.L,0.006111,500
Log_Return_GOOG.L,0.059358,500
Beta_45d_GOOG.L,0.001415,500
Variance_45d_GOOG.L,0.495491,500
Variance_45d_MA_GOOG.L,0.002794,500
MA_5d_GOOG.L,0.147464,500
Close_GS,0.004236,500
Volume_GS,0.006667,500
Adj_Close_GS,0.008249,500
Beta_45d_GS,0.104776,500
MA_45d_GS,0.000878,500
Beta_45d_HAL,0.006314,500
Variance_45d_HAL,0.005933,500
Variance_45d_MA_HAL,0.022530,500
Close_HD,1.315915,500
Volume_HD,0.001100,500
Adj_Close_HD,0.176761,500
Beta_45d_HD,0.069236,500
Variance_45d_HD,0.110400,500
MA_5d_HD,0.004917,500
Close_HEDJ,0.010072,500
Volume_HEDJ,0.017833,500
Beta_45d_HEDJ,0.475450,500
Variance_45d_HEDJ,0.558792,500
MA_45d_HEDJ,0.004408,500
MA_5d_HEDJ,0.017041,500
Close_HON,0.069455,500
Volume_HON,0.003927,500
Log_Return_HON,0.003921,500
Beta_45d_HON,0.000615,500
Variance_5d_MA_HON,1.106286,500
MA_45d_HON,0.000742,500
MA_5d_HON,0.024754,500
Log_Return_HYG,0.000605,500
Beta_45d_HYG,0.000779,500
MA_5d_HYG,0.007251,500
Volume_IBB,0.001270,500
Log_Return_IBB,0.018477,500
Beta_45d_IBB,0.001672,500
Variance_45d_IBB,0.002108,500
MA_5d_IBB,0.002553,500
Volume_IBM,0.007646,500
Beta_45d_IBM,0.152570,500
Variance_45d_MA_IBM,2.590673,500
Variance_5d_MA_IBM,0.019561,500
MA_45d_IBM,0.312377,500
MA_5d_IBM,0.006695,500
Close_ICE,0.001568,500
Volume_ICE,0.004780,500
Log_Return_ICE,0.001377,500
SPY_Return_ICE,0.000059,500
Beta_45d_ICE,0.126729,500
Variance_5d_MA_ICE,12.772277,500
MA_45d_ICE,0.000364,500
MA_5d_ICE,0.006620,500
Volume_IEF,0.002267,500
Log_Return_IEF,0.001910,500
Beta_45d_IEF,0.015077,500
Variance_45d_IEF,1.581120,500
Variance_45d_MA_IEF,0.000293,500
Variance_5d_MA_IEF,0.013733,500
MA_45d_IEF,0.001355,500
MA_5d_IEF,0.002743,500
Close_IJH,0.197861,500
Volume_IJH,0.023365,500
Adj_Close_IJH,0.000224,500
Log_Return_IJH,0.001947,500
SPY_Return_IJH,0.020569,500
Beta_45d_IJH,0.000167,500
Variance_45d_IJH,0.001430,500
Variance_45d_MA_IJH,0.552632,500
Variance_5d_MA_IJH,0.001931,500
MA_45d_IJH,0.039852,500
MA_5d_IJH,0.000737,500
Close_ILMN,0.003094,500
Volume_ILMN,0.010861,500
Adj_Close_ILMN,0.000752,500
Log_Return_ILMN,0.022260,500
SPY_Return_ILMN,0.001944,500
Beta_45d_ILMN,0.000637,500
Variance_45d_ILMN,0.426708,500
Variance_45d_MA_ILMN,0.000071,500
Variance_5d_MA_ILMN,3.503021,500
MA_45d_ILMN,0.002748,500
MA_5d_ILMN,0.010978,500
Close_INTC,0.005170,500
Volume_INTC,0.012251,500
Log_Return_INTC,0.001608,500
Beta_45d_INTC,0.001339,500
Variance_45d_INTC,0.023088,500
MA_45d_INTC,0.001736,500
MA_5d_INTC,0.023523,500
Volume_IVV,0.004397,500
Beta_45d_IVV,0.007886,500
Variance_45d_IVV,0.556218,500
Volume_IWB,0.005146,500
Beta_45d_IWB,0.007852,500
Variance_45d_IWB,0.102051,500
Variance_45d_MA_IWB,3.651807,500
Volume_IWD,0.005117,500
Log_Return_IWD,0.110225,500
Beta_45d_IWD,0.160446,500
Variance_45d_IWD,0.487361,500
Volume_IWF,0.000937,500
Log_Return_IWF,0.054873,500
Beta_45d_IWF,0.000028,500
Variance_45d_IWF,0.337584,500
Close_IWM,0.009480,500
Volume_IWM,0.011273,500
Log_Return_IWM,0.001308,500
Beta_45d_IWM,0.007301,500
Variance_45d_IWM,0.033501,500
Variance_45d_MA_IWM,1.235041,500
Volume_IWN,0.008332,500
Beta_45d_IWN,0.606056,500
Variance_45d_IWN,0.061388,500
MA_5d_IWN,0.026194,500
Volume_IWR,0.001675,500
Volume_IYR,0.015877,500
Beta_45d_IYR,0.037390,500
Variance_45d_MA_IYR,0.053394,500
MA_5d_IYR,0.032546,500
Volume_JNJ,0.001691,500
Adj_Close_JNJ,0.126411,500
Log_Return_JNJ,0.002857,500
Beta_45d_JNJ,0.027254,500
Variance_45d_JNJ,0.022454,500
MA_45d_JNJ,0.005429,500
MA_5d_JNJ,0.032822,500
Close_JPM,0.028157,500
Volume_JPM,0.054224,500
Log_Return_JPM,0.002190,500
MA_45d_JPM,0.011008,500
MA_5d_JPM,0.008468,500
Close_KMB,0.040668,500
Volume_KMB,0.024640,500
Adj_Close_KMB,0.006811,500
Log_Return_KMB,0.004553,500
Beta_45d_KMB,0.280819,500
Variance_45d_MA_KMB,0.008880,500
MA_45d_KMB,0.010381,500
MA_5d_KMB,0.078614,500
Volume_KO,0.003711,500
Log_Return_KO,0.003320,500
Beta_45d_KO,0.004495,500
Variance_45d_KO,0.002199,500
MA_45d_KO,0.000942,500
MA_5d_KO,0.025058,500
Close_KR,0.000499,500
Volume_KR,0.011100,500
Adj_Close_KR,0.318116,500
Beta_45d_KR,0.007769,500
Variance_45d_KR,0.003603,500
Variance_5d_MA_KR,0.001563,500
MA_45d_KR,0.103232,500
Volume_LBTY.A,0.009347,500
MA_45d_LBTY.A,0.018758,500
MA_5d_LBTY.A,0.007314,500
Volume_LBTY.K,0.013855,500
Log_Return_LBTY.K,0.000858,500
Beta_45d_LBTY.K,0.051535,500
Variance_5d_MA_LBTY.K,0.003056,500
MA_5d_LBTY.K,0.017121,500
Volume_LLY,0.009813,500
Log_Return_LLY,0.002517,500
Variance_45d_LLY,0.435368,500
MA_45d_LLY,0.014814,500
MA_5d_LLY,0.069865,500
Volume_LMT,0.013387,500
Log_Return_LMT,0.002049,500
Variance_45d_LMT,0.123614,500
MA_45d_LMT,0.000812,500
MA_5d_LMT,0.005727,500
Close_LOW,0.086208,500
Volume_LOW,0.009864,500
Variance_45d_LOW,0.010908,500
Variance_5d_MA_LOW,0.001624,500
MA_45d_LOW,0.165481,500
MA_5d_LOW,0.000990,500
Volume_MA,0.002085,500
Log_Return_MA,0.001216,500
Beta_45d_MA,0.005742,500
Variance_45d_MA_MA,0.004916,500
MA_5d_MA,0.864676,500
Close_MCD,0.034123,500
Volume_MCD,0.050599,500
Adj_Close_MCD,0.034589,500
Log_Return_MCD,0.002897,500
Beta_45d_MCD,0.008718,500
Variance_45d_MCD,0.002302,500
Variance_5d_MA_MCD,0.002371,500
MA_5d_MCD,0.019044,500
Close_MCK,0.314984,500
Volume_MCK,0.016730,500
Adj_Close_MCK,0.457946,500
Log_Return_MCK,0.001946,500
Beta_45d_MCK,4.520871,500
Variance_5d_MA_MCK,0.000689,500
MA_45d_MCK,0.015531,500
MA_5d_MCK,0.057821,500
Close_MDLZ,0.098914,500
Log_Return_MDLZ,0.025370,500
Beta_45d_MDLZ,0.128126,500
MA_45d_MDLZ,0.341041,500
MA_5d_MDLZ,0.005017,500
Volume_MDT,0.014115,500
Log_Return_MDT,0.021690,500
SPY_Return_MDT,0.008210,500
Beta_45d_MDT,0.158023,500
Variance_45d_MDT,0.006810,500
Variance_5d_MA_MDT,0.257973,500
MA_45d_MDT,0.021070,500
MA_5d_MDT,0.001468,500
Close_MDY,0.001521,500
Volume_MDY,0.003833,500
Adj_Close_MDY,0.000185,500
Log_Return_MDY,0.000086,500
SPY_Return_MDY,0.002104,500
Beta_45d_MDY,0.001266,500
Variance_45d_MDY,0.000237,500
Variance_45d_MA_MDY,1.116360,500
MA_45d_MDY,0.483451,500
Close_MET,1.027540,500
Volume_MET,0.006336,500
Adj_Close_MET,0.007494,500
Log_Return_MET,0.060812,500
SPY_Return_MET,0.000768,500
Beta_45d_MET,0.006656,500
Variance_45d_MET,0.549107,500
Variance_45d_MA_MET,0.468696,500
Variance_5d_MA_MET,1.559777,500
MA_45d_MET,0.061494,500
MA_5d_MET,0.016086,500
Volume_MMM,0.038295,500
Adj_Close_MMM,0.003017,500
Log_Return_MMM,0.000196,500
SPY_Return_MMM,0.000678,500
Beta_45d_MMM,0.005321,500
Variance_45d_MMM,0.024270,500
Variance_45d_MA_MMM,0.002011,500
Variance_5d_MA_MMM,6.420547,500
MA_5d_MMM,0.003028,500
Volume_MON,0.001709,500
Log_Return_MON,0.016806,500
Variance_45d_MA_MON,0.721636,500
MA_45d_MON,0.002610,500
MA_5d_MON,0.002369,500
Volume_MO,1.177283,500
Adj_Close_MO,0.423302,500
Log_Return_MO,0.006709,500
Beta_45d_MO,5.910802,500
Variance_45d_MO,0.003277,500
MA_45d_MO,4.164479,500
MA_5d_MO,0.002684,500
Volume_MRK,0.003431,500
Log_Return_MRK,0.003061,500
Beta_45d_MRK,0.133804,500
Variance_45d_MRK,2.122407,500
MA_5d_MRK,0.020205,500
Close_MSFT,0.079470,500
Volume_MSFT,0.008450,500
Adj_Close_MSFT,0.179943,500
Log_Return_MSFT,0.020023,500
MA_45d_MSFT,0.153453,500
MA_5d_MSFT,0.007091,500
Volume_MS,0.001385,500
Log_Return_MS,0.011005,500
Beta_45d_MS,0.028871,500
MA_5d_MS,0.001983,500
Close_MU,0.016278,500
Log_Return_MU,0.008253,500
Beta_45d_MU,0.028380,500
Variance_45d_MA_MU,0.003754,500
MA_45d_MU,0.003580,500
MA_5d_MU,0.019381,500
Close_NFLX,0.003386,500
Volume_NFLX,0.012050,500
Log_Return_NFLX,0.001563,500
Beta_45d_NFLX,0.006698,500
Variance_5d_MA_NFLX,8.617691,500
MA_45d_NFLX,0.006722,500
MA_5d_NFLX,0.022747,500
Close_NKE,0.030907,500
Volume_NKE,0.070862,500
Log_Return_NKE,0.008555,500
Beta_45d_NKE,0.965805,500
Variance_45d_NKE,0.032145,500
Variance_45d_MA_NKE,0.049522,500
Variance_5d_MA_NKE,0.000652,500
MA_45d_NKE,0.111585,500
MA_5d_NKE,0.173263,500
Close_NXPI,0.016083,500
Volume_NXPI,0.008025,500
Log_Return_NXPI,0.001095,500
Beta_45d_NXPI,0.013918,500
MA_45d_NXPI,0.023493,500
MA_5d_NXPI,0.002116,500
Close_ORCL,0.012068,500
Volume_ORCL,0.002671,500
Log_Return_ORCL,0.001085,500
Beta_45d_ORCL,0.001228,500
MA_45d_ORCL,0.000791,500
MA_5d_ORCL,0.006716,500
Close_OXY,0.184149,500
Volume_OXY,0.004378,500
Log_Return_OXY,0.010355,500
Beta_45d_OXY,0.032707,500
Variance_45d_OXY,0.001806,500
Variance_5d_MA_OXY,0.004085,500
Volume_PEP,0.071016,500
Log_Return_PEP,0.002993,500
Beta_45d_PEP,0.044153,500
Variance_45d_MA_PEP,11.659426,500
MA_5d_PEP,0.004718,500
Volume_PFE,0.014135,500
Log_Return_PFE,0.008140,500
Variance_45d_PFE,0.007049,500
Variance_5d_MA_PFE,0.001724,500
MA_45d_PFE,0.761251,500
Close_PG,0.026458,500
Volume_PG,0.008059,500
Beta_45d_PG,0.276127,500
Variance_45d_PG,0.002035,500
Variance_45d_MA_PG,0.009156,500
Variance_5d_MA_PG,0.001438,500
MA_5d_PG,0.007209,500
Volume_PM,0.006798,500
Beta_45d_PM,0.090860,500
Variance_45d_PM,0.000609,500
Variance_5d_MA_PM,0.049609,500
MA_45d_PM,0.170641,500
MA_5d_PM,0.014107,500
Close_PXD,0.016220,500
Volume_PXD,0.001269,500
Log_Return_PXD,0.003827,500
Beta_45d_PXD,0.001086,500
Variance_5d_MA_PXD,0.005178,500
MA_45d_PXD,0.021043,500
MA_5d_PXD,0.000635,500
Log_Return_QCOM,0.000885,500
Variance_5d_MA_QCOM,0.002826,500
MA_5d_QCOM,0.028251,500
Close_QQQ,0.151941,500
Volume_QQQ,0.038619,500
Log_Return_QQQ,0.008503,500
Variance_45d_QQQ,3.427586,500
MA_45d_QQQ,0.189297,500
Close_REGN,0.093048,500
Volume_REGN,0.011387,500
